location,continent,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,Asia,41128772.0,54422,18.6,2581,1337,1803.987,,597029,9.59,,,37746,0.5,64.83,511
Africa,,1426736614.0,,,,,,,,,,,,,,
Albania,Europe,2842318.0,104871,38.0,13188,8643,11803.431,1.1,304195,10.08,7.1,51.2,,2.89,78.57,795
Algeria,Africa,44903228.0,17348,29.1,6211,3857,13913.839,0.5,278364,6.73,0.7,30.4,83741,1.9,76.88,748
American Samoa,Oceania,44295.0,278205,,,,,,283.75,,,,,,73.74,
Andorra,Europe,79843.0,163755,,,,,,109135,7.97,29.0,37.8,,,83.73,868
Angola,Africa,35588996.0,23.89,16.8,2405,1362,5819.495,,276045,3.94,,,26664,,61.15,581
Anguilla,North America,15877.0,,,,,,,,,,,,,81.88,
Antigua and Barbuda,North America,93772.0,231845,32.1,6933,4631,21490.943,,191511,13.17,,,,3.8,77.02,778
Argentina,South America,45510324.0,16177,31.9,11198,7441,18933.907,0.6,191032,5.5,16.2,27.7,,5.0,76.67,845
Armenia,Asia,2780472.0,102931,35.7,11232,7571,8787.58,1.8,341.01,7.11,1.5,52.1,94043,4.2,75.09,776
Aruba,North America,106459.0,584.8,41.2,13085,7452,35973.781,,,11.62,,,,,76.29,
Asia,,4721383370.0,,,,,,,,,,,,,,
Australia,Oceania,26177410.0,3202,37.9,15504,10129,44648.71,0.5,107791,5.07,13.0,16.5,,3.84,83.44,944
Austria,Europe,8939617.0,106749,44.4,19202,13748,45436.686,0.7,145183,6.35,28.4,30.9,,7.37,81.54,922
Azerbaijan,Asia,10358078.0,119309,32.4,6018,3871,15847.419,,559812,7.11,0.3,42.5,83241,4.7,73.0,756
Bahamas,North America,409989.0,39497,34.3,8996,5.2,27717.847,,235954,13.17,3.1,20.4,,2.9,73.92,814
Bahrain,Asia,1472237.0,1935.907,32.4,2372,1387,43290.705,,151689,16.52,5.8,37.6,,2.0,77.29,852
