iso_code,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Afghanistan,2024-08-04,235214.0,0.0,0.0,7998.0,0.0,0.0,5796.468,0.0,0.0,197098,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID_AFR,Africa,2024-08-04,13145380.0,36.0,5143,259117.0,0.0,0.0,9088.877,25,4,179157,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,2024-08-04,335047.0,0.0,0.0,3605.0,0.0,0.0,118491.02,0.0,0.0,1274.926,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,2024-08-04,272139.0,18.0,2571,6881.0,0.0,0.0,5984.05,396,57,151306,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,American Samoa,2024-08-04,8359.0,0.0,0.0,34.0,0.0,0.0,172831.6,0.0,0.0,702988,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,Andorra,2024-08-04,48015.0,0.0,0.0,159.0,0.0,0.0,602280.44,0.0,0.0,1994.431,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,2024-08-04,107481.0,0.0,0.0,1937.0,0.0,0.0,3016.162,0.0,0.0,54357,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,Anguilla,2024-08-04,3904.0,0.0,0.0,12.0,0.0,0.0,274890.88,0.0,0.0,844951,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,2024-08-04,9106.0,0.0,0.0,146.0,0.0,0.0,98071.1,0.0,0.0,1572.412,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,Argentina,2024-08-04,10101218.0,54.0,7714,130663.0,1.0,143,222455.06,1189,0.17,2877.538,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,2024-08-04,452273.0,0.0,0.0,8777.0,0.0,0.0,156991.11,0.0,0.0,3046.635,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,2024-08-04,44224.0,0.0,0.0,292.0,0.0,0.0,410271.62,0.0,0.0,2708.921,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID_ASI,Asia,2024-08-14,301499099.0,4515.0,645.0,1637249.0,17.0,2429,63948.2,958,137,347262,4,1,,,,,,,,,,,,,,,,,,,9104304615.0,3689438947.0,3462095463.0,1815176944.0,258.0,193.0,192.83,78.14,73.33,38.45,0.0,10.0,0.0,,,,,
